# STATION 
# START_TIME 2023-04-18T15:21:14.000000Z
# SAMPING_FREQ 10.0
# NDAT 26070
# time [s],f004,f005,f006,f007
4.500000000000000000e+00,-1.802458871348064577e+03,-1.778715858034523194e+02,-1.108445275867310329e+03,-3.599467977086715109e+02
4.599999999999999645e+00,-1.806321106682720483e+03,-1.767357222658378362e+02,-1.106251806160771139e+03,-3.603688912671576645e+02
4.700000000000000178e+00,-1.806249762647116768e+03,-1.755294960994242786e+02,-1.106461608334182756e+03,-3.565115788523329456e+02
4.799999999999999822e+00,-1.804666699514666107e+03,-1.710899888480809636e+02,-1.111809039731371058e+03,-3.542696371529272028e+02
4.900000000000000355e+00,-1.809875393246383737e+03,-1.759028079295954399e+02,-1.117607811201834693e+03,-3.560283696827328299e+02
5.000000000000000000e+00,-1.811249250487341669e+03,-1.816826695849063924e+02,-1.112556812362108985e+03,-3.566395011747335388e+02
5.099999999999999645e+00,-1.809269239001280994e+03,-1.771935525584101470e+02,-1.103037843620340027e+03,-3.550257881671651603e+02
5.200000000000000178e+00,-1.810344116540031337e+03,-1.742698430067073332e+02,-1.104630905419309556e+03,-3.579843396435129534e+02
5.299999999999999822e+00,-1.804938420175395095e+03,-1.722985062324498813e+02,-1.109390156921976768e+03,-3.613395988976405988e+02
5.400000000000000355e+00,-1.796105499025891277e+03,-1.646117611136776304e+02,-1.108852892795015123e+03,-3.584275329531570833e+02
5.500000000000000000e+00,-1.801396571049047452e+03,-1.676521978484607587e+02,-1.109561430042986103e+03,-3.560882064253376598e+02
5.599999999999999645e+00,-1.811494535877012140e+03,-1.814651910556243593e+02,-1.109150482952461971e+03,-3.591273503674743779e+02
5.700000000000000178e+00,-1.805242759295529822e+03,-1.840882360192796057e+02,-1.104621356728261617e+03,-3.620454372383388773e+02
5.799999999999999822e+00,-1.800158615542905409e+03,-1.803718392950262057e+02,-1.105237886094291980e+03,-3.606686645792242416e+02
5.900000000000000355e+00,-1.811831634015005420e+03,-1.821187459085393812e+02,-1.110711226445084094e+03,-3.580759185607964810e+02
6.000000000000000000e+00,-1.816019911299161777e+03,-1.815302433728028291e+02,-1.109845424476809285e+03,-3.577526494272403852e+02
6.099999999999999645e+00,-1.813308564153247744e+03,-1.788557128389575723e+02,-1.106118161082042661e+03,-3.601226885804253470e+02
6.200000000000000178e+00,-1.819993798552259250e+03,-1.790914659499752872e+02,-1.106677047583564899e+03,-3.655514715491600555e+02
6.299999999999999822e+00,-1.819448575948505095e+03,-1.782769535337067737e+02,-1.105636833294668804e+03,-3.662844547461527327e+02
6.400000000000000355e+00,-1.814449012144866629e+03,-1.777749406792093509e+02,-1.104647701216277255e+03,-3.544376706800323973e+02
6.500000000000000000e+00,-1.818044185974955781e+03,-1.799054095184695825e+02,-1.110195463455032950e+03,-3.450657310483350102e+02
6.599999999999999645e+00,-1.813218651374784940e+03,-1.790857260981466084e+02,-1.111327920354904563e+03,-3.499250257375634874e+02
6.700000000000000178e+00,-1.807388934164601324e+03,-1.757257434113553813e+02,-1.101288568895646677e+03,-3.547443567238303785e+02
6.799999999999999822e+00,-1.817170077424994588e+03,-1.771686523215835223e+02,-1.097035152461196958e+03,-3.549044501808716632e+02
6.900000000000000355e+00,-1.822728198152399955e+03,-1.799468967652383640e+02,-1.106413020251233547e+03,-3.583508417753544109e+02
7.000000000000000000e+00,-1.818844251331862324e+03,-1.780148285102256978e+02,-1.113270425800707471e+03,-3.608787403802894005e+02
7.099999999999999645e+00,-1.818183712032614721e+03,-1.790565951905521160e+02,-1.108132722216745151e+03,-3.592882978428669958e+02
7.200000000000000178e+00,-1.816323666437950578e+03,-1.845197868660101790e+02,-1.101338038927465732e+03,-3.571749978110259462e+02
7.299999999999999822e+00,-1.816617566899878966e+03,-1.834000008225190754e+02,-1.104672981986634568e+03,-3.550482926102880583e+02
7.400000000000000355e+00,-1.822906519145056791e+03,-1.783570800920923602e+02,-1.110393040184218307e+03,-3.539558984487194948e+02
7.500000000000000000e+00,-1.820441077983950436e+03,-1.786870757961094682e+02,-1.104221147316070528e+03,-3.545084610490113164e+02
7.599999999999999645e+00,-1.813772528234684614e+03,-1.794300886734487221e+02,-1.096017188134179378e+03,-3.567128972349873948e+02
7.700000000000000178e+00,-1.819184000798449915e+03,-1.765555337880946354e+02,-1.098809467093960848e+03,-3.619424695795624984e+02
7.799999999999999822e+00,-1.822213246770424576e+03,-1.775915487580647323e+02,-1.103793639571971426e+03,-3.645539433267016420e+02
7.900000000000000355e+00,-1.812347936782981378e+03,-1.815814862217971495e+02,-1.107181046715645152e+03,-3.605847408193176307e+02
8.000000000000000000e+00,-1.807729236238998510e+03,-1.774632776543660952e+02,-1.111588820436687001e+03,-3.576250404210962870e+02
8.099999999999999645e+00,-1.810764485929661305e+03,-1.686112091201579233e+02,-1.109007293198264051e+03,-3.589994554524168393e+02
8.199999999999999289e+00,-1.809268863264968331e+03,-1.683527909859728879e+02,-1.103308094879203509e+03,-3.614751737691481139e+02
8.300000000000000711e+00,-1.807432237469782649e+03,-1.754673810702649916e+02,-1.103882236600416263e+03,-3.620417146853795884e+02
